Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Rms.ViewModels.RmsDashBoardViewModel+<hacklogin>d__39.MoveNext",788,0,13.09,0.00,
"Rms.Views.RmsDashBoard..ctor",915,0,15.20,0.00,
"System.Collections.Concurrent.ConcurrentDictionary`2[System.__Canon,System.Nullable`1[System.Int32]]..ctor",1,0,0.02,0.00,
"System.Collections.Concurrent.ConcurrentDictionary`2[System.__Canon,System.Nullable`1[System.Int32]].GetOrAdd",8,0,0.13,0.00,
"System.Collections.Generic.Dictionary`2[MaterialDesignThemes.Wpf.ShadowDepth,System.__Canon]..ctor",2,0,0.03,0.00,
"System.Collections.Generic.Dictionary`2[MaterialDesignThemes.Wpf.ShadowDepth,System.__Canon].Add",3,0,0.05,0.00,
"System.Collections.Generic.Dictionary`2[MaterialDesignThemes.Wpf.ShadowDepth,System.__Canon].get_Item",1,0,0.02,0.00,
"System.Collections.Generic.Dictionary`2[MaterialDesignThemes.Wpf.ShadowDepth,System.__Canon].Insert",2,0,0.03,0.00,
"System.Collections.Generic.Dictionary`2[System.__Canon,System.Collections.Generic.KeyValuePair`2[System.Int32,System.Int32]].Insert",2,0,0.03,0.00,
"System.Collections.Generic.Dictionary`2[System.__Canon,System.Collections.Generic.KeyValuePair`2[System.Int32,System.Int32]].TryGetValue",1,0,0.02,0.00,
"System.Collections.Generic.Dictionary`2[System.__Canon,System.Int16]..ctor",1,0,0.02,0.00,
"System.Collections.Generic.EqualityComparer`1[MaterialDesignThemes.Wpf.ShadowDepth].get_Default",2,0,0.03,0.00,
"System.Collections.ObjectModel.Collection`1[System.DateTime].Add",3,0,0.05,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Coordinator`1[System.Int32]..ctor",1,0,0.02,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.CoordinatorFactory`1[System.Int32]..ctor",6,0,0.10,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.CoordinatorFactory`1[System.Int32]..ctor",2,0,0.03,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.CoordinatorFactory`1[System.Int32].CreateCoordinator",1,0,0.02,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Shaper`1[System.Int32]..ctor",1,0,0.02,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Shaper`1[System.Int32].Finally",1,0,0.02,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Shaper`1+SimpleEnumerator[System.Int32].Dispose",1,0,0.02,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Shaper`1+SimpleEnumerator[System.Int32].MoveNext",3,0,0.05,0.00,
"System.Data.Entity.Core.Common.Internal.Materialization.Translator.TranslateColumnMap",14,0,0.23,0.00,
"System.Data.Entity.Core.Mapping.ViewGeneration.Structures.OpCellTreeNode.Accept",2,0,0.03,0.00,
"System.Data.Entity.Core.Objects.ELinq.ObjectQueryProvider.<GetElementFunction>b__3",124,0,2.06,0.00,
"System.Data.Entity.Core.Objects.ELinq.ObjectQueryProvider.ExecuteSingle",69,0,1.15,0.00,
"System.Data.Entity.Core.Objects.ELinq.ObjectQueryProvider.GetElementFunction",68,0,1.13,0.00,
"System.Data.Entity.Core.Objects.ELinq.ObjectQueryProvider.System.Linq.IQueryProvider.Execute",194,0,3.22,0.00,
"System.Data.Entity.Core.Objects.Internal.ObjectQueryExecutionPlan.Execute",4,0,0.07,0.00,
"System.Data.Entity.Core.Objects.ObjectQuery`1[System.Int32].<System.Collections.Generic.IEnumerable<T>.GetEnumerator>b__0",115,0,1.91,0.00,
"System.Data.Entity.Core.Objects.ObjectQuery`1[System.Int32].GetResults",113,0,1.88,0.00,
"System.Data.Entity.Core.Objects.ObjectQuery`1+<>c__DisplayClass7[System.Int32].<GetResults>b__5",113,0,1.88,0.00,
"System.Data.Entity.Core.Objects.ObjectQuery`1+<>c__DisplayClass7[System.Int32].<GetResults>b__6",112,0,1.86,0.00,
"System.Data.Entity.Core.Objects.ObjectResult`1[System.Int32].GetDbEnumerator",2,0,0.03,0.00,
"System.Data.Entity.Core.Objects.ObjectResult`1[System.Int32].GetEnumerator",2,0,0.03,0.00,
"System.Data.Entity.Core.Query.InternalTrees.EntityColumnMap.Accept",20,0,0.33,0.00,
"System.Data.Entity.Core.Query.InternalTrees.RecordColumnMap.Accept",1,0,0.02,0.00,
"System.Data.Entity.Core.Query.InternalTrees.RecordColumnMap.Accept",7,0,0.12,0.00,
"System.Data.Entity.Core.Query.InternalTrees.ScalarColumnMap.Accept",6,0,0.10,0.00,
"System.Data.Entity.Core.Query.InternalTrees.SimpleCollectionColumnMap.Accept",2,0,0.03,0.00,
"System.Data.Entity.Internal.LazyEnumerator`1[System.Int32].MoveNext",5,0,0.08,0.00,
"System.Data.Entity.Internal.Linq.DbQueryProvider.Execute",195,0,3.24,0.00,
"System.Linq.Enumerable.Join",1,0,0.02,0.00,
"System.Linq.Enumerable.Single",123,0,2.04,0.00,
"System.Linq.Enumerable.ThenBy",1,0,0.02,0.00,
